 ARFCN    MHz       
   975   925.2   
   976   925.4   
   977   925.6   
   978   925.8   
   979   926.0   
   980   926.2   
   981   926.4   
   982   926.6   
   983   926.8   
   984   927.0   
   985   927.2   
   986   927.4   
   987   927.6   
   988   927.8   
   989   928.0   
   990   928.2  
   991   928.4   
   992   928.6  
   993   928.8  
   994   929.0  
   995   929.2 
   996   929.4  
   997   929.6   
   998   929.8   
   999   930.0   
  1000   930.2   
  1001   930.4  
  1002   930.6   
  1003   930.8  
  1004   931.0  
  1005   931.2  
  1006   931.4  
  1007   931.6  
  1008   931.8  
  1009   932.0  
  1010   932.2  
  1011   932.4  
  1012   932.6  
  1013   932.8   
  1014   933.0 
  1015   933.2 
  1016   933.4 
  1017   933.6 
  1018   933.8  
  1019   934.0  
  1020   934.2   
  1021   934.4  
  1022   934.6   
  1023   934.8   
     0   935.0  
     1   935.2   
     2   935.4  
     3   935.6  
     4   935.8   
     5   936.0   
     6   936.2  
     7   936.4   
     8   936.6   
     9   936.8   
    10   937.0   
    11   937.2  
    12   937.4   
    13   937.6  
    14   937.8   
    15   938.0   
    16   938.2   
    17   938.4   
    18   938.6   
    19   938.8   
    20   939.0   
    21   939.2  
    22   939.4  
    23   939.6   
    24   939.8  
    25   940.0   
    26   940.2  
    27   940.4  
    28   940.6  
    29   940.8 
    30   941.0 
    31   941.2 
    32   941.4  
    33   941.6 
    34   941.8  
    35   942.0
    36   942.2  
    37   942.4  
    38   942.6  
    39   942.8  
    40   943.0  
    41   943.2   
    42   943.4   
    43   943.6  
    44   943.8  
    45   944.0 
    46   944.2   
    47   944.4   
    48   944.6   
    49   944.8   
    50   945.0   
    51   945.2   
    52   945.4   
    53   945.6  
    54   945.8   
    55   946.0  
    56   946.2  
    57   946.4  
    58   946.6   
    59   946.8   
    60   947.0 
    61   947.2
    62   947.4  
    63   947.6   
    64   947.8   
    65   948.0   
    66   948.2 
    67   948.4   
    68   948.6  
    69   948.8 
    70   949.0   
    71   949.2   
    72   949.4  
    73   949.6   
    74   949.8  
    75   950.0  
    76   950.2   -94.6  ---  ---  -----  -----
    77   950.4   -91.8  ---  ---  -----  -----
    78   950.6   -94.5  ---  ---  -----  -----
    79   950.8   -95.2  ---  ---  -----  -----
    80   951.0   -93.8  ---  ---  -----  -----
    81   951.2   
    82   951.4   -93.5  ---  ---  -----  -----
    83   951.6   -95.1  ---  ---  -----  -----
    84   951.8   -90.3  ---  ---  -----  -----
    85   952.0   -91.3  ---  ---  -----  -----
    86   952.2   -89.3  ---  ---  -----  -----
    87   952.4   -94.8  ---  ---  -----  -----
    88   952.6   -88.6  ---  ---  -----  -----
    89   952.8   -94.6  ---  ---  -----  -----
    90   953.0   -88.9  ---  ---  -----  -----
    91   953.2   -97.5  ---  ---  -----  -----
    92   953.4   -90.5  ---  ---  -----  -----
    93   953.6   -95.5  ---  ---  -----  -----
    94   953.8   -87.1  ---  ---  -----  -----
    95   954.0   -85.0  ---  ---  -----  -----
    96   954.2   -85.9  ---  ---  -----  -----
    97   954.4   
    98   954.6   -84.9  ---  ---  -----  -----
    99   954.8   -94.6  ---  ---  -----  -----
   100   955.0   -88.1  ---  ---  -----  -----
   101   955.2   -96.6  ---  ---  -----  -----
   102   955.4   -91.7  ---  ---  -----  -----
   103   955.6   -94.1  ---  ---  -----  -----
   104   955.8   -90.3  ---  ---  -----  -----
   105   956.0   
   106   956.2   
   107   956.4  
   108   956.6  
   109   956.8   
   110   957.0  
   111   957.2   
   112   957.4   
   113   957.6  
   114   957.8                                                        
   115   958.0   
   116   958.2   
   117   958.4   
   118   958.6   
   119   958.8   
   120   959.0   
   121   959.2   
   122   959.4   
   123   959.6   
   124   959.8   
